"NoTicket";"CodeCli";"Caissier";"DateTicket"
10444;"JEHOU";3;25/6/2021 00:00:00
10445;"JEHOU";3;26/6/2021 00:00:00
10446;"DIGOM";6;27/6/2021 00:00:00
10447;"CHDUD";4;27/6/2021 00:00:00
10448;"GECAU";4;30/6/2021 00:00:00
10449;"JEBOR";3;30/6/2021 00:00:00
10450;"JAHEN";7;2/6/2021 00:00:00
10451;"ARBLA";4;2/6/2021 00:00:00
10452;"MOELK";9;2/6/2021 00:00:00
10453;"CLHAL";1;3/6/2021 00:00:00
10454;"CÉDAU";4;3/6/2021 00:00:00
10455;"CLJAN";10;6/6/2021 00:00:00
10456;"CHBES";12;7/6/2021 00:00:00
10457;"CHBES";11;7/6/2021 00:00:00
10458;"MIGAL";7;8/6/2021 00:00:00
10459;"JAHEN";4;9/6/2021 00:00:00
10460;"REDAN";1;10/6/2021 00:00:00
10461;"JEMAN";1;10/6/2021 00:00:00
10462;"CHNIE";3;13/6/2021 00:00:00
10463;"MIGAL";5;14/6/2021 00:00:00
10464;"LOHUE";4;14/6/2021 00:00:00
10465;"ZOHED";1;15/6/2021 00:00:00
10466;"PAMAR";4;16/6/2021 00:00:00
10467;"NISCH";4;16/6/2021 00:00:00
10468;"CHBES";3;17/6/2021 00:00:00
10469;"CHLAB";1;20/6/2021 00:00:00
10470;"FAMAR";4;21/6/2021 00:00:00
10471;"SYBEL";5;21/6/2021 00:00:00
10472;"MAEUS";6;22/6/2021 00:00:00
10473;"GAANT";1;23/6/2021 00:00:00
10474;"SORET";5;23/6/2021 00:00:00
10475;"MIGAL";9;24/6/2021 00:00:00
10476;"NAROU";7;27/6/2021 00:00:00
10477;"VIVAN";5;27/6/2021 00:00:00
10478;"JAHEN";9;28/6/2021 00:00:00
10479;"ALCLE";3;29/6/2021 00:00:00
10480;"CHBON";6;30/6/2021 00:00:00
10481;"CHDUD";10;30/6/2021 00:00:00
10482;"SELAU";1;30/6/2021 00:00:00
10483;"CHLAB";7;3/6/2021 00:00:00
10484;"SYBEL";3;3/6/2021 00:00:00
10485;"RARAB";4;4/6/2021 00:00:00
10486;"NAROU";1;5/6/2021 00:00:00
10487;"PABEL";11;5/6/2021 00:00:00
10488;"ERDEB";12;6/6/2021 00:00:00
10489;"BETIZ";6;7/6/2021 00:00:00
10490;"NAROU";7;10/6/2021 00:00:00
10491;"LOHUE";1;10/6/2021 00:00:00
10492;"GESEF";3;11/6/2021 00:00:00
10493;"CÉDAU";4;12/6/2021 00:00:00
10494;"PAMAR";4;12/6/2021 00:00:00
10495;"VIGUI";3;13/6/2021 00:00:00
10496;"CEGRO";7;14/6/2021 00:00:00
10497;"ANLER";7;14/6/2021 00:00:00
10498;"NAROU";3;17/6/2021 00:00:00
10499;"JEMAN";4;18/6/2021 00:00:00
10500;"CÉDAU";6;19/6/2021 00:00:00
10501;"NOBEL";9;19/6/2021 00:00:00
10502;"SORET";4;20/6/2021 00:00:00
10503;"ERSWE";6;21/6/2021 00:00:00
10504;"CHLAB";4;21/6/2021 00:00:00
10505;"JÉBAZ";3;24/6/2021 00:00:00
10506;"CHBES";9;25/6/2021 00:00:00
10507;"SEADI";7;25/6/2021 00:00:00
10508;"OLLHE";1;26/6/2021 00:00:00
10509;"NOBEL";4;27/6/2021 00:00:00
10510;"MOELK";6;28/6/2021 00:00:00
10511;"FAMAR";4;28/6/2021 00:00:00
10512;"ALAUV";7;2/6/2021 00:00:00
10513;"PAJAL";7;2/6/2021 00:00:00
10514;"CHLEC";3;2/6/2021 00:00:00
10515;"ARBLA";5;3/6/2021 00:00:00
10516;"ERSWE";6;4/6/2021 00:00:00
10517;"RIDAN";3;4/6/2021 00:00:00
10518;"CHGRA";4;5/6/2021 00:00:00
10519;"SYLEJ";6;8/6/2021 00:00:00
10520;"ALDUV";7;9/6/2021 00:00:00
10521;"MICOL";7;9/6/2021 00:00:00
10522;"ANLER";4;10/6/2021 00:00:00
10523;"MAEUS";7;11/6/2021 00:00:00
10524;"JEHOU";1;11/6/2021 00:00:00
10525;"FAMAR";1;12/6/2021 00:00:00
10526;"CLJAN";4;15/6/2021 00:00:00
10527;"ARBLA";7;15/6/2021 00:00:00
10528;"HALER";6;16/6/2021 00:00:00
10529;"YATAN";5;17/6/2021 00:00:00
10530;"BETIZ";3;18/6/2021 00:00:00
10531;"RIDAB";7;18/6/2021 00:00:00
10532;"DIDAL";7;19/6/2021 00:00:00
10533;"REDAN";9;22/6/2021 00:00:00
10534;"ANLER";10;22/6/2021 00:00:00
10535;"SEADI";4;23/6/2021 00:00:00
10536;"ANLER";3;24/6/2021 00:00:00
10537;"ERDUR";1;24/6/2021 00:00:00
10538;"SYBEL";9;25/6/2021 00:00:00
10539;"SYBEL";6;26/6/2021 00:00:00
10540;"ARBLA";3;29/6/2021 00:00:00
10541;"DAMIC";12;29/6/2021 00:00:00
10542;"CHBES";1;30/6/2021 00:00:00
10543;"JEMAN";3;30/6/2021 00:00:00
10544;"CHROU";4;30/6/2021 00:00:00
10545;"SELAU";4;2/6/2021 00:00:00
10546;"JAHEN";1;2/6/2021 00:00:00
10547;"MAEUS";3;2/6/2021 00:00:00
10548;"DIGOM";3;5/6/2021 00:00:00
10549;"ARBLA";5;6/6/2021 00:00:00
10550;"JELEC";7;7/6/2021 00:00:00
10551;"LOHUE";4;7/6/2021 00:00:00
10552;"NAROU";11;8/6/2021 00:00:00
10553;"CLJAN";1;9/6/2021 00:00:00
10554;"OLLHE";4;9/6/2021 00:00:00
10555;"MOELK";6;12/6/2021 00:00:00
10556;"OLFER";5;13/6/2021 00:00:00
10557;"ANLER";9;13/6/2021 00:00:00
10558;"CLHAL";1;14/6/2021 00:00:00
10559;"JEBOR";6;15/6/2021 00:00:00
10560;"ERDEB";6;16/6/2021 00:00:00
10561;"REDAN";7;16/6/2021 00:00:00
10562;"DACOU";1;19/6/2021 00:00:00
10563;"CHDUD";9;20/6/2021 00:00:00
10564;"ALCLE";4;20/6/2021 00:00:00
10565;"JÉBAZ";10;21/6/2021 00:00:00
10566;"JEBOR";9;22/6/2021 00:00:00
10567;"ERSWE";1;22/6/2021 00:00:00
10568;"SAJOU";3;23/6/2021 00:00:00
10569;"ALCLE";5;26/6/2021 00:00:00
10570;"JÉBAZ";3;27/6/2021 00:00:00
10571;"CHLEC";11;27/6/2021 00:00:00
10572;"JEHOU";3;28/6/2021 00:00:00
10573;"SEADI";7;29/6/2021 00:00:00
10574;"ROHAM";4;29/6/2021 00:00:00
10575;"CECHA";5;30/6/2021 00:00:00
10576;"CHGRA";3;3/6/2021 00:00:00
10577;"ROHAM";9;3/6/2021 00:00:00
10578;"SYBEL";4;4/6/2021 00:00:00
10579;"PALER";1;5/6/2021 00:00:00
10580;"OLLHE";4;6/6/2021 00:00:00
10581;"ALAUV";3;6/6/2021 00:00:00
10582;"NOBEL";3;7/6/2021 00:00:00
10583;"CLJAN";12;10/6/2021 00:00:00
10584;"JEBOR";4;10/6/2021 00:00:00
10585;"YAKAL";7;11/6/2021 00:00:00
10586;"DACOU";9;12/6/2021 00:00:00
10587;"BEAVI";1;12/6/2021 00:00:00
10588;"ARBLA";1;13/6/2021 00:00:00
10589;"HALER";3;14/6/2021 00:00:00
10590;"JÉBAZ";4;17/6/2021 00:00:00
10591;"ZOHED";1;17/6/2021 00:00:00
10592;"ANLER";3;18/6/2021 00:00:00
10593;"ANLER";7;19/6/2021 00:00:00
10594;"PILED";3;19/6/2021 00:00:00
10595;"CHLEC";4;20/6/2021 00:00:00
10596;"CHLAB";5;21/6/2021 00:00:00
10597;"BETIZ";7;21/6/2021 00:00:00
10598;"ALCLE";1;24/6/2021 00:00:00
10599;"SYBEL";6;25/6/2021 00:00:00
10600;"PASAU";4;26/6/2021 00:00:00
10601;"NAROU";7;26/6/2021 00:00:00
10602;"ZOHED";6;27/6/2021 00:00:00
10603;"MOELK";7;28/6/2021 00:00:00
10604;"LOHUE";1;28/6/2021 00:00:00
10605;"JÉBAZ";1;30/6/2021 00:00:00
10606;"CEGRO";4;2/6/2021 00:00:00
10607;"MOELK";5;2/6/2021 00:00:00
10608;"DIGOM";4;2/6/2021 00:00:00
10609;"MABON";7;3/6/2021 00:00:00
10610;"CÉDAU";9;4/6/2021 00:00:00
10611;"DELE ";6;4/6/2021 00:00:00
10612;"MOELK";1;7/6/2021 00:00:00
10613;"NAROU";4;8/6/2021 00:00:00
10614;"NOBEL";15;8/6/2021 00:00:00
10615;"FRLAN";11;9/6/2021 00:00:00
10616;"HALER";1;10/6/2021 00:00:00
10617;"HALER";4;10/6/2021 00:00:00
10618;"JÉBAZ";1;11/6/2021 00:00:00
10619;"JÉBAZ";3;14/6/2021 00:00:00
10620;"VIGUI";1;15/6/2021 00:00:00
10621;"GAANT";4;15/6/2021 00:00:00
10622;"CHDUD";4;16/6/2021 00:00:00
10623;"ERDEB";12;17/6/2021 00:00:00
10624;"CHGAS";4;17/6/2021 00:00:00
10625;"MALAZ";3;18/6/2021 00:00:00
10626;"JEHOU";1;21/6/2021 00:00:00
10627;"MOELK";1;21/6/2021 00:00:00
10628;"JEBOR";4;22/6/2021 00:00:00
10629;"JELEC";4;22/6/2021 00:00:00
10630;"CHBES";1;23/6/2021 00:00:00
10631;"CÉDAU";4;24/6/2021 00:00:00
10632;"PAJAL";3;24/6/2021 00:00:00
10633;"CHLEC";7;25/6/2021 00:00:00
10634;"CHBON";4;25/6/2021 00:00:00
10635;"NISCH";5;28/6/2021 00:00:00
10636;"CLJAN";4;29/6/2021 00:00:00
10637;"PABEL";6;29/6/2021 00:00:00
10638;"RARAB";3;30/6/2021 00:00:00
10639;"ALDUV";7;30/6/2021 00:00:00
10640;"PAJAL";4;30/6/2021 00:00:00
10641;"NAROU";4;2/6/2021 00:00:00
10642;"OLFER";7;2/6/2021 00:00:00
10643;"CLHAL";6;4/6/2021 00:00:00
10644;"YAKAL";3;4/6/2021 00:00:00
10645;"DAMIC";4;5/6/2021 00:00:00
10646;"ERSWE";9;6/6/2021 00:00:00
10647;"BEAVI";4;6/6/2021 00:00:00
10648;"CHDUD";5;7/6/2021 00:00:00
10649;"YATAN";5;7/6/2021 00:00:00
10650;"ALAUV";5;8/6/2021 00:00:00
10651;"PAJAL";6;11/6/2021 00:00:00
10652;"BRLEH";4;11/6/2021 00:00:00
10653;"ERDEB";1;12/6/2021 00:00:00
10654;"JEHOU";5;12/6/2021 00:00:00
10655;"DACOU";1;13/6/2021 00:00:00
10656;"HALER";6;14/6/2021 00:00:00
10657;"MOELK";3;14/6/2021 00:00:00
10658;"ARBLA";4;15/6/2021 00:00:00
10659;"PABEL";7;15/6/2021 00:00:00
10660;"PASAU";7;18/6/2021 00:00:00
10661;"ERSWE";7;19/6/2021 00:00:00
10662;"CHROU";3;19/6/2021 00:00:00
10663;"FAMAR";4;20/6/2021 00:00:00
10664;"LOHUE";1;20/6/2021 00:00:00
10665;"CHROU";1;21/6/2021 00:00:00
10666;"ERDUR";7;22/6/2021 00:00:00
10667;"CHLEC";7;22/6/2021 00:00:00
10668;"PAJAL";1;25/6/2021 00:00:00
10669;"OLFER";5;25/6/2021 00:00:00
10670;"ERDEB";4;26/6/2021 00:00:00
10671;"JEHER";1;27/6/2021 00:00:00
10672;"JEHOU";9;27/6/2021 00:00:00
10673;"FRLAN";6;28/6/2021 00:00:00
10674;"GAANT";4;28/6/2021 00:00:00
10675;"ERDEB";5;27/6/2021 00:00:00
10676;"CHGRA";7;3/6/2021 00:00:00
10677;"SEADI";1;3/6/2021 00:00:00
10678;"MOELK";7;4/6/2021 00:00:00
10679;"JEBOR";9;4/6/2021 00:00:00
10680;"PILED";1;5/6/2021 00:00:00
10681;"HALER";3;6/6/2021 00:00:00
10682;"SEADI";3;6/6/2021 00:00:00
10683;"MABON";9;7/6/2021 00:00:00
10684;"OLLHE";3;7/6/2021 00:00:00
10685;"BRLEH";4;10/6/2021 00:00:00
10686;"BETIZ";10;11/6/2021 00:00:00
10687;"ERSWE";9;11/6/2021 00:00:00
10688;"ZOHED";4;12/6/2021 00:00:00
10689;"JEHOU";1;12/6/2021 00:00:00
10690;"DAMIC";1;13/6/2021 00:00:00
10691;"ARBLA";11;14/6/2021 00:00:00
10692;"SYBEL";4;14/6/2021 00:00:00
10693;"CHLAB";3;17/6/2021 00:00:00
10694;"ARBLA";10;17/6/2021 00:00:00
10695;"FRLAN";7;18/6/2021 00:00:00
10696;"CHLAB";11;19/6/2021 00:00:00
10697;"RARAB";3;19/6/2021 00:00:00
10698;"CHLEC";4;20/6/2021 00:00:00
10699;"CECHA";3;20/6/2021 00:00:00
10700;"MOELK";3;21/6/2021 00:00:00
10701;"ERSWE";6;24/6/2021 00:00:00
10702;"MALAZ";4;24/6/2021 00:00:00
10703;"REDAN";6;25/6/2021 00:00:00
10704;"PABEL";6;25/6/2021 00:00:00
10705;"NAROU";9;26/6/2021 00:00:00
10706;"PILED";12;27/6/2021 00:00:00
10707;"CLHAL";4;27/6/2021 00:00:00
10708;"BEGAL";6;28/6/2021 00:00:00
10709;"BRLEH";1;28/6/2021 00:00:00
10710;"LEHOS";1;30/6/2021 00:00:00
10711;"MOELK";5;2/6/2021 00:00:00
10712;"ERSWE";3;2/6/2021 00:00:00
10713;"MOELK";1;2/6/2021 00:00:00
10714;"MOELK";5;2/6/2021 00:00:00
10715;"FAMAR";3;3/6/2021 00:00:00
10716;"GECAU";4;4/6/2021 00:00:00
10717;"ERDEB";1;4/6/2021 00:00:00
10718;"CHBES";1;7/6/2021 00:00:00
10719;"PALER";1;7/6/2021 00:00:00
10720;"BEAVI";3;8/6/2021 00:00:00
10721;"ARBLA";5;9/6/2021 00:00:00
10722;"MOELK";4;9/6/2021 00:00:00
10723;"CHLAB";3;10/6/2021 00:00:00
10724;"JÉBAZ";5;10/6/2021 00:00:00
10725;"ALAUV";4;11/6/2021 00:00:00
10726;"DIDAL";4;14/6/2021 00:00:00
10727;"DACOU";12;14/6/2021 00:00:00
10728;"PABEL";4;15/6/2021 00:00:00
10729;"RARAB";6;15/6/2021 00:00:00
10730;"FAMAR";5;16/6/2021 00:00:00
10731;"SYLEJ";7;17/6/2021 00:00:00
10732;"FAMAR";3;17/6/2021 00:00:00
10733;"JEHOU";1;18/6/2021 00:00:00
10734;"BRLEH";1;18/6/2021 00:00:00
10735;"PALER";6;21/6/2021 00:00:00
10736;"ERSWE";9;22/6/2021 00:00:00
10737;"MAHEN";3;22/6/2021 00:00:00
10738;"MAFER";4;23/6/2021 00:00:00
10739;"MAHEN";3;23/6/2021 00:00:00
10740;"CHLAB";4;24/6/2021 00:00:00
10741;"CLHAL";4;25/6/2021 00:00:00
10742;"GESEF";3;25/6/2021 00:00:00
10743;"CLHAL";1;28/6/2021 00:00:00
10744;"ZOHED";6;28/6/2021 00:00:00
10745;"ARBLA";9;29/6/2021 00:00:00
10746;"SYLEJ";1;30/6/2021 00:00:00
10747;"BETIZ";6;30/6/2021 00:00:00
10748;"MOELK";3;2/6/2021 00:00:00
10749;"GAANT";4;2/6/2021 00:00:00
10750;"CLJAN";9;2/6/2021 00:00:00
10751;"ERDUR";3;5/6/2021 00:00:00
10752;"RIDAN";5;5/6/2021 00:00:00
10753;"LEHOS";3;6/6/2021 00:00:00
10754;"NISCH";6;6/6/2021 00:00:00
10755;"FAMAR";4;7/6/2021 00:00:00
10756;"PHFRO";7;8/6/2021 00:00:00
10757;"MOELK";6;8/6/2021 00:00:00
10758;"ERDUR";3;9/6/2021 00:00:00
10759;"MALAZ";3;9/6/2021 00:00:00
10760;"YATAN";4;12/6/2021 00:00:00
10761;"ALCLE";5;13/6/2021 00:00:00
10762;"REDAN";3;13/6/2021 00:00:00
10763;"CHBON";3;14/6/2021 00:00:00
10764;"CHLEC";6;14/6/2021 00:00:00
10765;"ARBLA";3;15/6/2021 00:00:00
10766;"OLLHE";4;16/6/2021 00:00:00
10767;"MIGAL";4;16/6/2021 00:00:00
10768;"CLHAL";3;19/6/2021 00:00:00
10769;"ZOHED";3;19/6/2021 00:00:00
10770;"DAMIC";9;20/6/2021 00:00:00
10771;"CHLEC";9;21/6/2021 00:00:00
10772;"ANLER";3;21/6/2021 00:00:00
10773;"CHLEC";1;22/6/2021 00:00:00
10774;"REDAN";4;22/6/2021 00:00:00
10775;"CHGAS";7;23/6/2021 00:00:00
10776;"CHLEC";1;26/6/2021 00:00:00
10777;"BRLEH";7;26/6/2021 00:00:00
10778;"JEHOU";3;27/6/2021 00:00:00
10779;"CECHA";3;27/6/2021 00:00:00
10780;"JEMAN";6;27/6/2021 00:00:00
10781;"CLJAN";7;28/6/2021 00:00:00
10782;"MICOL";9;28/6/2021 00:00:00
10783;"DAMIC";4;29/6/2021 00:00:00
10784;"NISCH";4;29/6/2021 00:00:00
10785;"THLOP";1;29/6/2021 00:00:00
10786;"PABEL";15;30/6/2021 00:00:00
10787;"CÉDAU";9;30/6/2021 00:00:00
10788;"ARBLA";1;2/6/2021 00:00:00
10789;"CHBON";1;2/6/2021 00:00:00
10790;"BRLEH";6;2/6/2021 00:00:00
10791;"ERDEB";6;3/6/2021 00:00:00
10792;"DELE ";1;3/6/2021 00:00:00
10793;"CLHAL";3;4/6/2021 00:00:00
10794;"BEAVI";6;4/6/2021 00:00:00
10795;"CHLEC";11;4/6/2021 00:00:00
10796;"NAROU";3;5/6/2021 00:00:00
10797;"ERBEC";7;5/6/2021 00:00:00
10798;"GAANT";10;6/6/2021 00:00:00
10799;"CHBES";9;6/6/2021 00:00:00
10800;"MAEUS";1;6/6/2021 00:00:00
10801;"JALES";4;9/6/2021 00:00:00
10802;"OLFER";4;9/6/2021 00:00:00
10803;"YAKAL";4;10/6/2021 00:00:00
10804;"MAEUS";6;10/6/2021 00:00:00
10805;"BEGAL";14;10/6/2021 00:00:00
10806;"JAHEN";3;11/6/2021 00:00:00
10807;"LEHOS";4;11/6/2021 00:00:00
10808;"PILED";12;12/6/2021 00:00:00
10809;"YAKAL";7;12/6/2021 00:00:00
10810;"VIGUI";1;12/6/2021 00:00:00
10811;"RARAB";12;13/6/2021 00:00:00
