"Refprod";"Nomprod";"NoFour";"CodeCateg";"NoSousCateg";"QteParUnit";"PrixUnit";"UnitesStock";"UnitesCom";"NiveauReap";"Indisponible"
22;"Galettes vegan riz";9;1;12304;"1";16,01 €;104;0;25;0
23;"Galette vegan maïs";9;1;12361;"12 cartons (250 g)";6,86 €;61;0;25;0
24;"Bières Flamiche";10;6;60227;"12 canettes (355 ml)";11,43 €;20;0;0;1
25;"Nougat-Creme";11;7;30328;"Sachet (450 g)";10,67 €;76;0;30;0
26;"Sauce gribiche Spéciale";11;1;12615;"1 pot (250g)";6,60 €;15;0;0;0
27;"Carvi bio";11;1;12749;"1 pot (250g)";3,00 €;49;0;30;0
28;"Sauce tomate vegan";12;1;12826;"2 pots  (225 g)";6,75 €;26;0;0;1
29;"Grillade agneau casher";12;54;40136;"30 saucisses";94,36 €;0;0;0;1
30;"Cabillaud Atlantique Nord";13;43;13010;"1 kg";19,73 €;10;0;15;0
31;"Gorgonzola Telino";14;21;50332;" (200 g)";9,53 €;0;70;20;0
32;"Mascarpone Fabioli";14;21;50333;" (200 g)";10,39 €;9;40;25;0
33;"Geitost sauce";15;1;13412;"(500 g)";10,67 €;112;0;20;0
34;"Bière Heineken";16;6;60237;"10  canettes (25 cl)";10,67 €;111;0;15;0
35;"Bière Steeleye Stout";16;6;60238;"2 bouteilles (1 litre)";13,72 €;20;0;15;0
36;"Inlagd Sill";17;43;13712;"24 pots (250 g)";14,48 €;112;0;20;0
37;"Filets merlu";17;43;13761;"(500 g)";9,82 €;11;50;25;0
38;"Côte de Blaye Bio";18;6;60241;"1 bouteille (75 cl)";12,00 €;17;0;15;0
39;"Chartreuse verte";18;6;60242;"1 bouteille (750 cc)";13,72 €;69;0;5;0
40;"Boston Crab Meat";19;43;14123;"6 boîtes (400 g)";24,03 €;123;0;30;0
41;"Filets saint-pierre";19;43;14185;"(500 g)";7,36 €;85;0;10;0
42;"Boulettes  de légumes vegan";20;1;14226;"(500 g)";10,67 €;26;0;0;1
43;"Irish Coffee";20;6;60246;"2 boîtes (500 g)";35,06 €;17;10;25;0
44;"Sauce  Malacca";20;1;14427;"(500 g)";14,83 €;27;0;15;0
45;"Filets maquereau";21;43;14575;"(1kg)";7,24 €;5;70;15;0
46;"Aile de Raie";21;43;14695;"1 kg";9,15 €;95;0;0;0
47;"Ananas sirop bio";22;1;14736;"(300 g)";7,24 €;36;0;0;0
48;"Abricots sirop";22;1;14885;"(300 g)";9,72 €;15;70;25;0
49;"Arbouses";23;1;14970;"(300 g)";5,24 €;10;60;15;0
50;"Mangue bio";23;1;15065;"(300 g)";12,39 €;65;0;30;0
51;"Kiwis";24;1;15120;"(300 g)";6,00 €;20;0;10;0
52;"Mélimélo fruits";24;1;15238;"(300 g)";5,34 €;38;0;25;0
53;"Côtes échine casher";24;54;40160;"6 pièces";25,00 €;0;0;0;1
54;"Tourtière Vegan";25;64;18621;"6 tartes";15,68 €;21;0;10;0
55;"Pâté chinois";25;1;15615;" 2 boîtes";18,29 €;115;0;20;0
56;"Gnocchi bolognaise";26;1;15631;" (250 g)";8,97 €;21;10;30;0
57;"Ravioli Angelo BIO";26;1;15736;"1 kg";14,86 €;36;0;20;0
58;"Huitres Manche";27;43;15862;"24 pièces";10,10 €;62;0;20;0
59;"Raclette Courdavault";28;21;50360;"1 carton (2 kg)";23,00 €;79;0;0;0
60;"Camembert Pierrot";28;21;50361;" (300 g)";6,00 €;19;0;0;0
61;"Sirop d'érable";29;1;16213;"1bouteille (500 cl)";11,72 €;113;0;25;0
62;"Tartes au sucre";29;7;30365;"6 tartes";37,58 €;17;0;0;0
63;"Sauce galuga Vegan";7;1;16324;"3 pots (125 g)";11,00 €;24;0;5;0
64;"Café écuadoria spécial";12;1;16502;"4 pièces";25,34 €;22;80;30;0
65;"Louisiana Fiery Hot Pepper Moutarde";2;11;16576;"1 pot";6,05 €;76;0;0;0
66;" Hot Spiced Okra";2;1;16704;"1 pot";12,96 €;4;100;20;0
67;"Chardonnay";16;6;60270;"75 cl";10,67 €;52;0;10;0
68;"Scottish Longbreads";8;1;16816;"1 pot";9,53 €;6;10;15;0
69;"Galettes Mini-apéro vegan";15;1;16926;"500 g";7,45 €;26;0;15;0
70;"Bière blonde avigel";7;6;60273;"1bouteille (500 cl)";11,43 €;15;10;30;0
71;"Farine  de maïs Ferme églia";15;1;17126;" (500 g)";6,39 €;26;0;0;0
72;"Mozzarella di Giovanni";14;21;50373;"(200 g)";6,53 €;14;0;0;0
73;"Röd Kaviar";17;43;17401;" (150 g)";11,43 €;101;0;5;0
74;"Longlife Tofu BIO";4;1;17424;"(200 g)";7,62 €;4;20;5;0
75;"Bière Kronembourg";12;6;60278;"6  bouteilles (0,5 litre)";5,91 €;125;0;25;0
76;"Bordeau rouge";23;6;60279;"1 bouteille (500 ml)";13,72 €;57;0;20;0
77;"Mélange graines Alvéa";12;1;17732;"(625 g)";9,91 €;32;0;15;0
78;"Mozzarella di Giovanni BIO";14;21;50379;"(200 g)";9,53 €;50;0;5;0
79;"Œufs lumps";17;43;18050;" (150 g)";6,10 €;150;0;0;0
80;"Calvados";18;6;60283;"1 bouteille (750 cc)";22,87 €;50;20;10;0
81;"Pavé d'Isygny";30;21;50382;"(300 g)";5,00 €;30;10;0;0
82;"Calvados de Mutrecy";30;6;60285;"1 bouteille (750 cc)";22,11 €;30;0;10;0
83;"Poiré";30;6;60286;"12 bouteilles (75 cl)";45,73 €;40;5;10;0
84;"Sablés d'Asnelles";30;7;30387;"4 boîtes (500 g)";27,85 €;50;0;0;0
85;"Quiches brianes";25;64;18650;"15 quiches";5,68 €;50;0;10;0
86;"Onglet de bœuf X2";31;54;40193;"1";11,43 €;100;0;0;0
87;" Merguez  Halal - 20 x 50 g";31;54;40194;"1";11,61 €;100;0;0;0
88;" Bourguignon de boeuf  Casher Buchinger - 1 kg environ";31;54;40195;"1";11,49 €;100;0;0;0
89;"Steaks Hachés Burgers  Halal, 20% M.G. - 20 x 80 g";31;54;40196;"1";10,39 €;100;0;0;0
90;"Steaks Hachés Burgers  Halal, 20% M.G. - 10 x 80 g";31;54;40197;"1";8,82 €;100;0;0;0
91;"Steaks Hachés Burgers  Halal, 20% M.G. - 6 x 80 g";31;54;40198;"1";5,91 €;100;0;0;0
92;" Merguez  Halal - 30 x 50 g";31;54;40199;"1";6,10 €;100;0;0;0
93;"Boulettes de boeuf  Halal - 1KG";31;54;40200;"1";6,86 €;100;0;0;0
94;"Boulettes de boeuf  Halal - 500 g";31;54;40201;"1";7,01 €;100;0;0;0
95;"Côtes de bœuf";31;54;40202;"1";7,24 €;100;0;0;0
96;"Côtes de veau X2";31;54;40203;"1";7,24 €;100;0;0;0
97;" Merguez  Halal - 10 x 50 g";31;54;40204;"1";7,36 €;100;0;0;0
98;"Côtes de veau X4";31;54;40205;"1";7,62 €;100;0;0;0
99;"Côtes de porc X4";31;54;40206;"1";7,62 €;39;0;0;0
100;"Côtes de porc X2";31;54;40207;"1";7,62 €;17;0;0;0
101;"Escalopes de poulet  Casher  - X4";31;54;40208;"1";9,15 €;13;0;0;0
102;"Filets de canard  Casher Buchinger - 2 x 250 g environ";31;54;40209;"1";9,53 €;53;0;0;0
103;"Escalopes de poulet  Casher  - X6";31;54;40210;"1";9,53 €;0;0;0;0
104;"Nuggets de volaille  Halal - 500 g";31;54;40211;"1";9,72 €;120;0;0;0
105;"Nuggets de volaille  Halal - 800 g";31;54;40212;"1";9,91 €;15;0;0;0
106;"Cuisses de poulet Halal X2";31;54;40213;"1";10,10 €;6;0;0;0
107;"Cuisses de poulet Halal X4";31;54;40214;"1";10,67 €;29;0;0;0
108;" Escalopes de dinde  Halal - 500g";31;54;40215;"1";10,67 €;31;0;0;0
109;" Escalopes de dinde  Halal - 1 kg";31;54;40216;"1";10,67 €;22;0;0;0
110;"Délice de poulet Halal Isla Délice 4 tranches - 240 g";31;54;40217;"1";10,67 €;86;0;0;0
111;"Cuisses de poulet X4";31;54;40218;"1";11,43 €;24;0;0;0
112;"Délice de poulet Halal Isla Délice 6  tranches - 240 g";31;54;40219;"1";11,43 €;35;0;0;0
113;"Délice de poulet Halal Isla Délice 8 tranches - 240 g";31;54;40220;"1";11,81 €;39;0;0;0
114;"Cuisses de poulet X2";31;54;40221;"1";11,81 €;29;0;0;0
115;"Filets de canard  Casher Buchinger - 4 x 250 g environ";31;54;40222;"1";11,26 €;0;0;0;0
116;"Cuisses de poulet Halal X6";31;54;40223;"1";10,16 €;42;0;0;0
117;"Herta Knacki X4 140g";31;54;40224;"1";9,59 €;25;0;0;0
118;"10 saucisses de volaille surgelées Casher Yarden - 400 g";31;54;40225;"1";11,49 €;40;0;0;0
119;"5 saucisses de volaille surgelées Casher Yarden - 400 g";31;54;40226;"1";5,91 €;3;0;0;0
120;"Herta Knacki X10 200g";31;54;40227;"1";6,10 €;104;0;0;0
121;"Herta Knacki X20 400g";31;54;40228;"1";6,86 €;61;0;0;0
122;"4 burgers SODEBO";31;54;40229;"1";7,01 €;20;0;0;0
123;"8 burgers SODEBO";31;54;40230;"1";7,24 €;76;0;0;0
124;"8 steack hachés 2g mg";31;54;40231;"1";7,24 €;15;0;0;0
125;"4 steack hachés 2g mg";31;54;40232;"1";7,36 €;49;0;0;0
126;"Côtelettes d'agneau X4";31;54;40233;"1";7,62 €;26;0;0;0
127;"Côtelettes d'agneau X2";31;54;40234;"1";7,62 €;0;0;0;0
128;"Cuisses de lapin X2";31;54;40235;"1";7,62 €;10;0;0;0
129;"Cuisses de lapin X4";31;54;40236;"1";9,15 €;0;0;0;0
130;"MARIE Thon Citron";31;43;130;"1";9,53 €;9;0;0;0
131;"MARIE Cabillaud Citron";31;43;131;"1";9,53 €;112;0;0;0
132;" Kit Kebab  Halal - 500 g";31;54;40239;"1";9,72 €;111;0;0;0
133;" Kit Kebab  Halal - 1KG";31;54;40240;"1";9,91 €;20;0;0;0
134;"Sac 2KG pommes de terre nouvelles";31;32;20236;"1";10,10 €;112;0;0;0
135;"Sac 1KG pommes de terre Roseval";31;32;20237;"1";10,67 €;11;0;0;0
136;"Tomates du roussilon barquette 250g";31;32;20238;"1";10,67 €;17;0;0;0
137;"Tomates du roussilon barquette 500g";31;32;20239;"1";10,67 €;69;0;0;0
138;"concombres X2";31;32;20240;"1";10,67 €;123;0;0;0
139;"concombre à la pièce";31;32;20241;"1";11,43 €;85;0;0;0
140;"courgettes barquette 250g";31;32;20242;"1";11,43 €;26;0;0;0
141;"courgettes barquette 500g";31;32;20243;"1";11,81 €;17;0;0;0
142;"aubergines barquette 500g";31;32;20244;"1";3,43 €;27;0;0;0
143;"aubergines barquette 250g";31;32;20245;"1";4,57 €;5;0;0;0
144;"potiron pièce 500G";31;32;20246;"1";5,34 €;95;0;0;0
145;"potiron pièce 350G";31;32;20247;"1";5,68 €;36;0;0;0
146;"Batavia";31;32;20248;"1";5,68 €;15;0;0;0
147;"Laitue";31;32;20249;"1";5,91 €;10;0;0;0
148;"Chou fleur breton";31;32;20250;"1";6,10 €;65;0;0;0
149;"Chou rouge";31;32;20251;"1";6,86 €;20;0;0;0
150;"poireaux botte 1KG";31;32;20252;"1";7,01 €;38;0;0;0
151;"poireaux botte 500G";31;32;20253;"1";7,24 €;0;0;0;0
152;"Cassegrain carottes 250g";31;32;20254;"1";7,24 €;3;0;0;0
153;"MarqueS carottes 250g";31;32;20255;"1";7,36 €;104;0;0;0
154;"carottes barquette 1KG";31;32;20256;"1";7,62 €;61;0;0;0
155;"carottes barquette 250g";31;32;20257;"1";7,62 €;20;0;0;0
156;"poivrons verts";31;32;20258;"1";7,62 €;76;0;0;0
157;"poivrons rouge";31;32;20259;"1";9,15 €;15;0;0;0
158;"haricots verts très fin";31;32;20260;"1";9,53 €;49;0;0;0
159;"haricots blancs";31;32;20261;"1";9,53 €;26;0;0;0
160;"brocolis barquette 500g";31;32;20262;"1";9,72 €;0;0;0;0
161;"brocolis barquette 250g";31;32;20263;"1";9,91 €;10;0;0;0
162;"champignons de Paris 250g";31;32;20264;"1";6,00 €;0;0;0;0
163;"champignons barquette 250g";31;32;20265;"1";10,67 €;9;0;0;0
164;"avocats par 2";31;32;20266;"1";5,00 €;112;0;0;0
165;"avocats par 4";31;32;20267;"1";9,00 €;111;0;0;0
166;"navets barquette 500g";31;32;20268;"1";10,67 €;20;0;0;0
167;"navets barquette 250g";31;32;20269;"1";11,43 €;112;0;0;0
168;"épinards barquette 500g";31;32;20270;"1";11,43 €;11;0;0;0
169;"Topinambours 1KG";31;32;20271;"1";11,81 €;17;0;0;0
170;"Cassegrain Pois chiches 250g";31;32;20272;"1";3,43 €;69;0;0;0
171;"MarqueS Pois chiches 250g";31;32;20273;"1";4,57 €;123;0;0;0
172;"Patate douce 1KG";31;32;20274;"1";5,34 €;85;0;0;0
173;"Oignons rouge sac 200g";31;32;20275;"1";5,68 €;26;0;0;0
174;"Ail rose 200g";31;32;20276;"1";5,68 €;17;0;0;0
175;"Basilic plat (Botte)";31;32;20277;"1";5,91 €;27;0;0;0
176;"Persil plat (Botte)";31;32;20278;"1";6,10 €;5;0;0;0
177;"Galettes Saint Michel";31;7;30480;"1";6,86 €;95;0;0;0
178;"Sablés d'Asnelles";31;7;30481;"1";7,01 €;36;0;0;0
179;"Chocodis";31;7;30482;"1";7,24 €;15;0;0;0
180;"Chocolatins";31;7;30483;"1";7,24 €;10;0;0;0
181;"Délice de framboise";31;7;30484;"1";7,36 €;65;0;0;0
182;"Délice de fraise";31;7;30485;"1";7,62 €;20;0;0;0
183;"Biscuits figues santé";31;7;30486;"1";7,62 €;38;0;0;0
184;"Biscuits soja figue";31;7;30487;"1";7,62 €;0;0;0;0
185;"Gouters vanille";31;7;30488;"1";9,15 €;21;0;0;0
186;"Gouters fraise";31;7;30489;"1";9,53 €;115;0;0;0
187;"Matin malin";31;7;30490;"1";9,53 €;21;0;0;0
188;"Matin malin+A161";31;7;30491;"1";9,72 €;36;0;0;0
189;"Pain d'épices loukoum";31;7;30492;"1";9,91 €;62;0;0;0
190;"Pain d'épices Kjun";31;7;30493;"1";4,00 €;79;0;0;0
191;"Madeleine  X12";31;7;30494;"1";10,67 €;19;0;0;0
192;"Gauffres miel X4";31;7;30495;"1";10,67 €;113;0;0;0
193;"Barres MUESLI choco";31;7;30496;"1";11,00 €;17;0;0;0
194;"Barres MUESLI céréales";31;7;30497;"1";10,67 €;24;0;0;0
195;"Kréma caramel";31;7;30498;"1";11,43 €;22;0;0;0
196;"Pralines anis";31;12;196;"1";11,43 €;76;0;0;0
197;"Holywood menthe";31;12;197;"1";11,81 €;4;0;0;0
198;"Holywood menthe forte";31;12;198;"1";3,43 €;52;0;0;0
199;"Tablette Milka noir 200g";31;10;199;"1";4,57 €;6;0;0;0
200;"Tablette Poulain noir 200g";31;10;200;"1";5,34 €;26;0;0;0
201;"Tablette MarqueS noir 200g";31;10;201;"1";5,68 €;15;0;0;0
202;"Tablette Poulain lait 200g";31;10;202;"1";5,68 €;26;0;0;0
203;"Tablette Milka lait 200g";31;10;203;"1";5,91 €;14;0;0;0
204;"Tablette MarqueS lait 200g";31;10;204;"1";6,10 €;101;0;0;0
205;"Carré Fondant";31;10;205;"1";6,86 €;4;0;0;0
206;"Tablette FRIDA Lait";31;10;206;"1";7,01 €;125;0;0;0
207;"Tablette Milka blanc 200g";31;10;207;"1";7,24 €;57;0;0;0
208;"Tablette Poulain blanc 200g";31;10;208;"1";7,24 €;32;0;0;0
209;"Tablette MarqueS blanc 200g";31;10;209;"1";7,36 €;50;0;0;0
210;"Tablette NESTLE dessert 200g";31;10;210;"1";7,62 €;150;0;0;0
211;"Tablette Poulain dessert 200g";31;10;211;"1";7,62 €;50;0;0;0
212;"Tablette MarqueS dessert 200g";31;10;212;"1";7,62 €;30;0;0;0
213;"PomPote rouge X12";31;16;213;"1";9,15 €;30;0;0;0
214;"PomPote X12";31;16;214;"1";9,53 €;40;0;0;0
215;"Cremly vanille";31;16;215;"1";9,53 €;50;0;0;0
216;"Cremly Choco";31;16;216;"1";9,72 €;50;0;0;0
217;"Teurgoule 250g";31;16;217;"1";9,91 €;100;0;0;0
218;"RITOTO X12";31;16;218;"1";10,10 €;100;0;0;0
219;"Prunes FIZ 250g";31;16;219;"1";5,00 €;100;0;0;0
220;"Abricots FIZ 250g";31;16;220;"1";6,00 €;100;0;0;0
221;"Cassegrain Pois 250g";31;55;15800;"1";7,00 €;100;0;0;0
222;"MarqueS Pois 250g";31;55;15800;"1";8,00 €;100;0;0;0
223;"MarqueS haricots verts fins 250g";31;55;15600;"1";11,43 €;100;0;0;0
224;"Cassegrain haricots verts fins 250g";31;55;15600;"1";11,43 €;100;0;0;0
225;"BLANC MarqueS 250 g";31;55;16100;"1";11,81 €;100;0;0;0
226;"BLANC Petit navive  250g";31;55;16100;"1";3,43 €;100;0;0;0
227;"à l'huile Petit navive  250g";31;55;16000;"1";4,57 €;100;0;0;0
228;"à l'huile MarqueS 250g";31;55;16000;"1";5,34 €;100;0;0;0
229;"Anchois MarqueS  100g";31;55;15500;"1";5,68 €;100;0;0;0
230;"Anchois Petit navive  100g";31;55;15500;"1";5,68 €;100;0;0;0
231;"Couscous royal MarqueS 1KG";31;55;15900;"1";5,91 €;100;0;0;0
232;" Falafel  Cacher - 500 g";31;55;15900;"1";6,10 €;100;0;0;0
233;"Couscous royal 1KG";31;55;15900;"1";6,86 €;100;0;0;0
234;"Crêpes  dinde et fromage Halal - 10 x 50 g";31;42;10541;"1";7,01 €;100;0;0;0
235;"Crêpes  dinde et fromage Halal - 20 x 50 g";31;42;10542;"1";7,24 €;100;0;0;0
236;" Lasagnes bolognaise  Halal - 500 g";31;42;10543;"1";7,24 €;100;0;0;0
237;" Lasagnes bolognaise  Halal - 1 kg";31;42;10544;"1";7,36 €;100;0;0;0
238;"PastaBoxFusilli saumon SODEBO";31;55;15900;"1";7,62 €;100;0;0;0
239;"PastaBoxFusilli champignons SODEBO";31;55;15900;"1";7,62 €;100;0;0;0
240;"Herta 100g";31;55;15700;"1";7,62 €;100;0;0;0
241;"Hénaff 100g";31;55;15700;"1";9,15 €;100;0;0;0
242;"Légumes du soleil";31;52;242;"1";9,53 €;100;0;0;0
243;"Soupe MarqueS tomates 250g";31;52;243;"1";9,53 €;100;0;0;0
244;"Croutons aillés MarqueS crottes 250g";31;1;244;"1";9,72 €;100;0;0;0
245;"Croutons nature 100g";31;1;245;"1";9,91 €;100;0;0;0
246;"Purée Mousseline 125g";31;1;246;"1";5,00 €;100;0;0;0
247;"Purée de pois chichcassés 250g";31;1;247;"1";5,00 €;100;0;0;0
248;"Purée Knorcumin 125g";31;1;248;"1";6,00 €;100;0;0;0
249;"Lasagnes 300g";31;1;249;"1";7,00 €;100;0;0;0
250;"Macaronis 1Kg";31;1;250;"1";8,00 €;100;0;0;0
251;"Fusilis 300g";31;1;251;"1";11,43 €;100;0;0;0
252;"Macaronis TAGLIA 1Kg";31;1;252;"1";11,43 €;100;0;0;0
253;"Riz complet basmati 250g";31;1;253;"1";11,81 €;100;0;0;0
254;"Riz thaï 250g";31;1;254;"1";3,43 €;100;0;0;0
255;"Blé complet 250g";31;1;255;"1";4,57 €;100;0;0;0
256;"Blé complet 500g";31;1;256;"1";5,34 €;100;0;0;0
257;"Semoule de blé 250g";31;1;257;"1";5,68 €;100;0;0;0
258;"Semoule de blé complet 250g";31;1;258;"1";5,68 €;100;0;0;0
259;"Nems X12";31;;16600;"1";5,91 €;100;0;0;0
260;"Nems X6";31;64;16600;"1";6,10 €;100;0;0;0
261;"Lentilles vertes 500g";31;33;20564;"1";6,86 €;100;0;0;0
262;"Lentilles vertes 250g";31;33;20565;"1";7,01 €;100;0;0;0
263;"Pain de Mie American sandwich HARIS 1 Kg";31;38;30465;"1";7,24 €;100;0;0;0
264;"Pain de Mie American sandwich Haris 825g";31;38;30466;"1";7,24 €;100;0;0;0
265;"Pain de Mie Complet sandwich";31;38;30467;"1";7,36 €;100;0;0;0
266;"Pain de Mie American sandwich JB 1 Kg";31;38;30468;"1";7,62 €;100;0;0;0
267;"Pain de Mie American sandwich bio";31;38;30469;"1";7,62 €;100;0;0;0
268;"Pain de Mie American sandwich JB 825g";31;38;30470;"1";7,62 €;100;0;0;0
269;"Pain au Lait";31;38;30471;"1";9,15 €;100;0;0;0
270;"Pain au Lait pétites choco";31;38;30472;"1";9,53 €;100;0;0;0
271;"Caprice Buchette";31;21;50572;"1";9,53 €;100;0;0;0
272;"Tome  de brebis";31;21;50573;"1";9,72 €;100;0;0;0
273;"Buchette délice";31;21;50574;"1";9,91 €;100;0;0;0
274;"Tome  de biquette";31;21;50575;"1";7,00 €;100;0;0;0
275;"Jambon HERTA fumé X4";31;9;40583;"1";10,67 €;100;0;0;0
276;"Jambon HERTA fumé X6";31;9;40584;"1";10,67 €;100;0;0;0
277;"Jambon HERTA fumé X2";31;9;40585;"1";10,67 €;100;0;0;0
278;"Pizza Hiver 4 saisons vegan";31;64;18700;"1";10,67 €;100;0;0;0
279;"Pizza hiver Royal";31;64;18700;"1";11,43 €;100;0;0;0
280;"Pizza fraiche 3 fromages";31;64;18700;"1";11,43 €;100;0;0;0
281;"Pizza été 3 fromages";31;64;18700;"1";11,81 €;100;0;0;0
282;"Pizza fraicheUP Royal";31;64;18700;"1";3,43 €;100;0;0;0
283;"Pizza fraicheUP jambon";31;64;18700;"1";4,57 €;100;0;0;0
284;"Pizza  bolognaise Halal - 400 g";31;64;18700;"1";5,34 €;100;0;0;0
285;"Pizza  royale Halal - 400 g";31;64;18700;"1";5,68 €;100;0;0;0
286;"Pizza fraiche 4 saisons";31;64;18700;"1";5,68 €;100;0;0;0
287;"Pizza  printemps";31;64;18700;"1";5,91 €;100;0;0;0
288;"Pizza 4 saisons   Casher Yarden - 750 g";31;64;18700;"1";6,10 €;100;0;0;0
289;"Pizza  fromage Triangle Casher Yarden - 750 g";31;64;18700;"1";6,86 €;100;0;0;0
290;"Pâtes fraiches lustucru 1KG";31;64;18600;"1";7,01 €;100;0;0;0
291;"Pâtes fraiches lustucru 750 g";31;64;18600;"1";7,24 €;100;0;0;0
292;"Blinis BLINI X12";31;64;18500;"1";7,24 €;100;0;0;0
293;"Tarama 100g";31;64;18500;"1";7,36 €;100;0;0;0
294;"Blinis BLINI X4";31;64;18500;"1";7,62 €;100;0;0;0
295;"Tzaziki 100g";31;64;18500;"1";7,62 €;100;0;0;0
296;"Beurre Doux ISIGNY 250g";31;46;50499;"1";7,62 €;100;0;0;0
297;"Beurre Doux 500g";31;46;50500;"1";9,15 €;100;0;0;0
298;"Moutarde Miel";31;11;298;"1";9,53 €;100;0;0;0
299;"Moutarde Miel";31;11;299;"1";9,53 €;100;0;0;0
300;"Lait 1/2 écrèmé Brik X 12";31;46;50503;"1";9,72 €;100;0;0;0
301;"Lait 1/2 écrèmé Brik X 6";31;46;50504;"1";9,91 €;100;0;0;0
302;"Tropicana essentiel Fibre";31;6;60505;"2";10,10 €;100;0;0;0
303;"Fanta citron 1,5 L";31;6;60506;"1";9,49 €;100;0;0;0
304;"Tropicana orange";31;6;60507;"1";3,00 €;100;0;0;0
305;"Fanta orange 1,5 L";31;6;60508;"1";3,00 €;100;0;0;0
306;"Etole / Stole 100% Soie / 100% Silk";30;62;17400;"1";38,11 €;100;0;0;0
307;"Porte monnaie en Cuir & tissu";30;62;17400;"1";37,58 €;100;0;0;0
308;"Porte carte 100% cuir de vache";30;62;17400;"1";35,06 €;100;0;0;0
309;"Portefeuille fantaisie 100% Vinyl";30;62;17400;"1";34,76 €;100;0;0;0
310;"Parapluie Ramsès bois coton métal";30;62;17400;"1";33,46 €;100;0;0;0
311;"Echarpe / Scarf 100% laine / 100% Wool";30;62;17400;"1";33,46 €;100;0;0;0
312;"BRAD H802 - MANTEAU 90%LAINE VIERGE 10%POLYAMIDE ";30;62;17800;"1";112,50 €;100;0;0;0
313;"BENITO H802 - MANTEAU 90%LAINE VIERGE 10%POLYAMIDE ";30;62;17800;"1";61,74 €;100;0;0;0
314;"BALSAM H801 - MANTEAU 70%ANGORA 30%LAINE D'AGNEAU";30;62;17800;"1";29,73 €;100;0;0;0
315;"BORIS H801 - MANTEAU 70%ANGORA 30%LAINE D'AGNEAU";30;62;17800;"1";49,62 €;100;0;0;0
316;"BITUME H803 - MANTEAU 70%LAINE 30%CACHEMIRE";30;62;17800;"1";47,64 €;100;0;0;0
317;"BASILE H800 - MANTEAU 100%POLYAMIDE ";30;62;17800;"1";45,73 €;100;0;0;0
318;"Manteau noir avec rubans 100% crêpe de chine / Black coat with ribbons 100% crêpe de chine";30;62;18000;"1";41,92 €;100;0;0;0
319;"Manteau noir 100%organza de soie réglisse noir / Black coat 100% silk organza with dark circles";30;62;18000;"1";40,40 €;100;0;0;0
320;"BIRKIN H803 - ROBE 70%LAINE 30%CACHEMIRE";30;62;18000;"1";38,11 €;100;0;0;0
321;"Robe rouge 100% organza de soie / Red bolero 100% silk organza";30;62;18000;"1";37,58 €;100;0;0;0
322;"Robe crochetée en maille 100% coton, pierres de verre noires / Stitched crochet dress 100% cotton with dark, glass stones";30;62;18000;"1";40,00 €;100;0;0;0
323;"Robe courte plissée 100% taffetas de soie / Short pleated dress 100% silk taffeta";30;62;18000;"1";34,76 €;100;0;0;0
324;"Robe longue plissée 100% taffetas de soie / long pleated dress 100%silk taffeta";30;62;18000;"1";33,46 €;100;0;0;0
325;"BAUM H809 - ROBE 96%COTON 4%ELASTHANNE";30;62;18000;"1";33,46 €;100;0;0;0
326;"VARSOVIE H801 - VESTE 70%ANGORA 30%LAINE D'AGNEAU";30;62;18200;"1";30,49 €;100;0;0;0
