"NoTicket";"Refprod";"PrixUnit";"Qte";"Remise%"
21348;12;23,17 €;4;0,05
21348;132;9,72 €;3;0,00
21348;133;9,91 €;4;0,00
21348;134;10,10 €;5;0,00
21348;135;10,67 €;3;0,00
21348;136;10,67 €;4;0,00
21349;40;11,28 €;4;0,00
21349;59;33,54 €;4;0,15
21349;76;10,98 €;4;0,15
21350;29;75,46 €;4;0,00
21350;72;21,19 €;4;0,00
21351;33;1,52 €;4;0,05
21351;72;21,19 €;3;0,05
21352;36;11,59 €;3;0,00
21352;43;28,05 €;3;0,00
21353;33;1,52 €;3;0,00
21354;20;49,39 €;4;0,00
21354;31;7,62 €;3;0,00
21354;72;21,19 €;3;0,00
21355;10;18,90 €;3;0,05
21355;31;7,62 €;4;0,05
21355;33;1,52 €;3;0,00
21355;40;11,28 €;4;0,05
21356;71;13,11 €;3;0,00
21356;72;21,19 €;4;0,00
21357;24;2,74 €;4;0,05
21357;59;33,54 €;4;0,05
21358;10;18,90 €;4;0,00
21358;13;3,66 €;4;0,00
21359;28;27,75 €;3;0,00
21359;62;30,03 €;4;0,00
21360;44;11,89 €;4;0,00
21360;59;33,54 €;4;0,00
21360;63;26,83 €;4;0,00
21360;73;9,15 €;3;0,00
21361;17;23,78 €;4;0,25
21362;2;14,48 €;1;0,00
21362;24;2,74 €;4;0,00
21362;44;14,83 €;4;0,00
21362;55;14,64 €;3;0,00
21362;75;4,73 €;3;0,00
21362;77;7,93 €;4;0,00
21362;78;16,77 €;3;0,00
21363;19;5,49 €;3;0,00
21363;24;2,74 €;4;0,00
21363;35;10,98 €;4;0,00
21364;30;15,85 €;4;0,00
21364;57;11,89 €;4;0,00
21365;15;9,45 €;3;0,00
21365;19;5,49 €;4;0,00
21365;60;20,73 €;3;0,00
21365;72;21,19 €;4;0,00
21366;7;4,25 €;1;0,00
21366;27;26,83 €;4;0,25
21366;44;11,89 €;3;0,00
21366;48;9,72 €;1;0,00
21366;60;20,73 €;3;0,25
21366;1448;9,77 €;1;0,00
21366;2650;8,54 €;4;0,25
21367;1;10,98 €;3;0,20
21367;40;11,28 €;3;0,20
21367;53;19,97 €;3;0,20
21368;35;10,98 €;4;0,00
21368;62;30,03 €;3;0,00
21369;16;10,67 €;3;0,15
21369;34;8,54 €;3;0,00
21369;46;7,32 €;4;0,15
21370;7;4,25 €;1;0,00
21370;27;26,83 €;4;0,25
21370;44;11,89 €;3;0,00
21370;54;4,57 €;4;0,10
21370;60;20,73 €;3;0,25
21370;761;3,64 €;1;0,00
21370;1448;9,77 €;1;0,00
21370;1495;12,41 €;1;0,00
21370;2650;8,54 €;4;0,25
21371;3;6,10 €;3;0,00
21371;64;20,28 €;4;0,00
21372;5;12,96 €;3;0,00
21372;29;75,46 €;4;0,00
21372;49;12,20 €;4;0,00
21372;77;7,93 €;4;0,00
21373;13;3,66 €;3;0,10
21373;44;11,89 €;3;0,10
21373;51;32,32 €;4;0,10
21374;20;49,39 €;3;0,00
21375;18;38,11 €;4;0,00
21375;24;2,74 €;4;0,00
21375;63;26,83 €;4;0,00
21375;75;4,73 €;4;0,00
21376;1;10,98 €;4;0,00
21376;17;23,78 €;4;0,00
21376;43;28,05 €;4;0,00
21376;60;20,73 €;3;0,00
21376;75;4,73 €;4;0,00
21377;56;23,17 €;4;0,00
21378;11;12,81 €;4;0,00
21378;16;10,67 €;3;0,00
21378;69;21,95 €;4;0,00
21379;39;10,98 €;4;0,00
21379;72;21,19 €;3;0,00
21380;2;11,59 €;3;0,00
21380;7;4,25 €;1;0,00
21380;27;26,83 €;4;0,25
21380;36;11,59 €;3;0,25
21380;44;11,89 €;3;0,00
21380;54;4,57 €;4;0,10
21380;62;30,03 €;4;0,00
21380;761;3,64 €;1;0,00
21380;1448;9,77 €;1;0,00
21380;1495;12,41 €;1;0,00
21380;2650;8,54 €;4;0,25
21381;19;5,49 €;4;0,00
21381;70;9,15 €;3;0,00
21382;66;10,37 €;3;0,00
21382;68;7,62 €;3;0,00
21383;40;11,28 €;4;0,00
21383;56;23,17 €;3;0,00
21384;17;23,78 €;3;0,00
21384;28;27,75 €;3;0,00
21384;43;28,05 €;4;0,00
21385;40;11,28 €;3;0,10
21385;65;12,81 €;3;0,10
21385;68;7,62 €;4;0,10
21386;7;4,25 €;1;0,00
21386;27;26,83 €;4;0,25
21386;44;11,89 €;3;0,00
21386;49;12,20 €;3;0,00
21386;54;4,57 €;4;0,10
21386;60;20,73 €;3;0,25
21386;71;13,11 €;4;0,00
21386;761;3,64 €;1;0,00
21386;1448;9,77 €;1;0,00
21386;1495;12,41 €;1;0,00
21387;7;4,25 €;1;0,00
21387;18;38,11 €;3;0,10
21387;27;26,83 €;4;0,25
21387;29;75,46 €;3;0,10
21387;39;10,98 €;3;0,10
21387;54;4,57 €;4;0,10
21387;1495;12,41 €;1;0,00
21388;30;15,85 €;4;0,00
21388;53;19,97 €;4;0,00
21388;54;4,57 €;4;0,00
21389;62;30,03 €;4;0,00
21389;68;7,62 €;4;0,00
21390;69;21,95 €;3;0,00
21390;70;9,15 €;4;0,00
21391;4;13,42 €;3;0,00
21391;6;15,24 €;3;0,00
21391;42;8,54 €;4;0,00
21391;43;28,05 €;3;0,00
21391;71;13,11 €;4;0,00
21392;16;10,67 €;4;0,00
21392;62;30,03 €;4;0,00
21393;42;8,54 €;4;0,00
21393;69;21,95 €;4;0,00
21394;28;27,75 €;4;0,00
21394;43;28,05 €;3;0,00
21394;53;19,97 €;3;0,00
21394;75;4,73 €;4;0,00
21395;36;11,59 €;4;0,00
21396;32;19,51 €;3;0,10
21396;58;8,08 €;3;0,10
21396;62;30,03 €;3;0,10
21397;34;8,54 €;4;0,00
21397;70;9,15 €;3;0,00
21398;41;5,79 €;4;0,00
21398;62;30,03 €;4;0,00
21399;1;10,98 €;3;0,00
21400;41;5,79 €;3;0,00
21400;76;10,98 €;4;0,00
21401;17;23,78 €;4;0,00
21401;28;27,75 €;4;0,00
21401;76;10,98 €;3;0,00
21402;71;13,11 €;3;0,00
21403;35;10,98 €;4;0,00
21404;52;4,27 €;3;0,00
21405;15;9,45 €;4;0,00
21405;25;8,54 €;4;0,00
21405;39;10,98 €;4;0,00
21406;16;10,67 €;3;0,15
21406;35;10,98 €;4;0,15
21406;46;7,32 €;3;0,00
21406;59;33,54 €;3;0,15
21406;63;26,83 €;4;0,15
21407;6;15,24 €;4;0,00
21407;13;3,66 €;4;0,00
21407;14;14,18 €;4;0,00
21407;31;7,62 €;4;0,00
21407;72;21,19 €;3;0,00
21408;4;13,42 €;3;0,00
21408;57;11,89 €;4;0,00
21408;75;4,73 €;4;0,00
21409;2;11,59 €;3;0,20
21409;11;12,81 €;4;0,20
21409;30;15,85 €;3;0,20
21409;58;8,08 €;3;0,20
21410;59;33,54 €;4;0,00
21410;65;12,81 €;3;0,00
21410;68;7,62 €;4;0,00
21411;19;5,49 €;4;0,05
21411;30;15,85 €;4;0,05
21411;38;160,68 €;3;0,05
21411;56;23,17 €;4;0,05
21412;26;18,90 €;4;0,15
21412;72;21,19 €;3;0,15
21413;54;4,57 €;4;0,00
21414;18;38,11 €;3;0,20
21414;42;8,54 €;4;0,20
21414;47;5,79 €;4;0,20
21415;14;14,18 €;4;0,00
21415;21;6,10 €;4;0,10
21415;71;13,11 €;3;0,10
21416;52;4,27 €;4;0,00
21416;68;7,62 €;4;0,00
21417;2;11,59 €;4;0,20
21417;31;7,62 €;3;0,20
21417;32;19,51 €;4;0,20
21417;51;32,32 €;3;0,20
21418;4;13,42 €;4;0,10
21419;23;5,49 €;3;0,00
21419;26;18,90 €;3;0,00
21419;36;11,59 €;3;0,00
21419;37;15,85 €;3;0,00
21419;72;21,19 €;3;0,00
21420;17;23,78 €;3;0,00
21420;30;15,85 €;4;0,00
21421;4;13,42 €;4;0,00
21421;17;23,78 €;4;0,05
21421;62;30,03 €;3;0,00
21422;18;38,11 €;3;0,05
21422;41;5,79 €;4;0,05
21422;43;28,05 €;3;0,05
21423;33;1,52 €;4;0,00
21423;59;33,54 €;4;0,15
21424;2;11,59 €;3;0,20
21424;31;7,62 €;4;0,20
21424;36;11,59 €;3;0,20
21424;55;14,64 €;3;0,20
21425;64;20,28 €;4;0,00
21425;68;7,62 €;4;0,05
21425;76;10,98 €;4;0,00
21426;4;13,42 €;3;0,00
21426;8;24,39 €;4;0,25
21427;8;24,39 €;4;0,00
21427;19;5,49 €;4;0,00
21427;42;8,54 €;4;0,00
21428;17;23,78 €;3;0,10
21428;56;23,17 €;3;0,00
21429;7;4,25 €;1;0,00
21429;25;8,54 €;4;0,00
21429;39;10,98 €;4;0,15
21429;1448;9,77 €;1;0,00
21429;1495;12,41 €;1;0,00
21430;1;10,98 €;4;0,15
21430;23;5,49 €;3;0,00
21431;54;4,57 €;3;0,00
21432;50;9,91 €;4;0,10
21432;69;21,95 €;4;0,10
21433;38;160,68 €;3;0,05
21433;41;5,79 €;4;0,00
21433;44;11,89 €;4;0,05
21433;65;12,81 €;4;0,05
21434;24;2,74 €;4;0,00
21434;54;4,57 €;3;0,15
21435;11;12,81 €;4;0,20
21435;38;160,68 €;4;0,20
21436;1;10,98 €;4;0,00
21436;29;75,46 €;4;0,00
21437;24;2,74 €;3;0,00
21437;57;11,89 €;3;0,00
21438;31;7,62 €;3;0,00
21438;55;14,64 €;4;0,00
21438;69;21,95 €;3;0,00
21439;10;18,90 €;3;0,20
21439;26;18,90 €;4;0,00
21439;60;20,73 €;4;0,20
21440;24;2,74 €;4;0,05
21440;34;8,54 €;4;0,05
21440;36;11,59 €;3;0,05
21441;16;10,67 €;4;0,05
21441;31;7,62 €;4;0,05
21441;60;20,73 €;4;0,05
21442;28;27,75 €;3;0,00
21442;29;75,46 €;3;0,00
21442;38;160,68 €;4;0,00
21442;49;12,20 €;3;0,00
21442;54;4,57 €;3;0,00
21443;39;10,98 €;4;0,10
21443;60;20,73 €;4;0,10
21444;25;8,54 €;4;0,00
21444;51;32,32 €;3;0,00
21444;54;4,57 €;3;0,00
21445;31;7,62 €;3;0,00
21445;75;4,73 €;4;0,00
21445;76;10,98 €;4;0,00
21446;69;21,95 €;3;0,00
21446;71;13,11 €;4;0,00
21447;11;12,81 €;3;0,00
21448;65;12,81 €;4;0,00
21448;77;7,93 €;4;0,00
21449;2;14,48 €;1;0,00
21449;34;8,54 €;3;0,00
21449;44;14,83 €;4;0,00
21449;47;7,24 €;1;0,00
21449;54;4,57 €;4;0,00
21449;65;12,81 €;4;0,00
21449;77;7,93 €;4;0,00
21449;78;16,77 €;3;0,00
21450;21;6,10 €;4;0,10
21450;28;27,75 €;4;0,10
21450;57;11,89 €;3;0,00
21450;64;20,28 €;3;0,10
21451;29;75,46 €;3;0,00
21451;56;23,17 €;4;0,25
21452;1;10,98 €;4;0,15
21452;2;14,48 €;1;0,00
21452;10;23,63 €;4;0,00
21452;44;14,83 €;4;0,00
21452;47;7,24 €;1;0,00
21452;64;20,28 €;3;0,00
21452;70;11,43 €;1;0,00
21452;74;6,10 €;3;0,15
21452;78;16,77 €;3;0,00
21453;36;11,59 €;4;0,20
21454;20;49,39 €;4;0,25
21454;38;160,68 €;3;0,25
21454;60;20,73 €;4;0,25
21454;72;21,19 €;3;0,25
21455;58;8,08 €;4;0,20
21455;71;13,11 €;4;0,20
21456;31;7,62 €;3;0,00
21456;58;8,08 €;4;0,00
21457;14;14,18 €;4;0,00
21457;54;4,57 €;4;0,00
21458;31;7,62 €;3;0,05
21459;28;27,75 €;3;0,15
21459;39;10,98 €;3;0,15
21460;71;13,11 €;4;0,00
21461;41;5,79 €;4;0,10
21461;63;26,83 €;4;0,10
21461;65;12,81 €;3;0,10
21462;30;15,85 €;4;0,10
21462;53;19,97 €;3;0,10
21462;60;20,73 €;4;0,10
21462;70;9,15 €;3;0,00
21463;74;6,10 €;4;0,00
21464;5;12,96 €;3;0,00
21464;18;38,11 €;4;0,00
21464;29;75,46 €;4;0,00
21464;33;1,52 €;4;0,00
21464;74;6,10 €;4;0,00
21465;13;3,66 €;3;0,00
21465;50;9,91 €;4;0,00
21465;56;23,17 €;3;0,00
21466;20;49,39 €;3;0,00
21466;60;20,73 €;4;0,00
21467;7;18,29 €;4;0,20
21467;60;20,73 €;3;0,20
21467;68;7,62 €;4;0,20
21468;24;2,74 €;4;0,00
21468;34;8,54 €;4;0,00
21469;24;2,74 €;4;0,00
21469;28;27,75 €;4;0,00
21469;59;33,54 €;4;0,00
21469;71;13,11 €;4;0,00
21470;45;5,79 €;4;0,20
21470;52;4,27 €;3;0,20
21470;53;19,97 €;3;0,00
21471;10;18,90 €;4;0,00
21471;55;14,64 €;4;0,00
21471;62;30,03 €;3;0,00
21471;70;9,15 €;3;0,00
21472;31;7,62 €;4;0,10
21472;35;10,98 €;3;0,10
21472;46;7,32 €;3;0,00
21472;72;21,19 €;3;0,10
21473;13;3,66 €;4;0,00
21474;69;21,95 €;4;0,00
21475;2;11,59 €;3;0,25
21475;14;14,18 €;3;0,25
21475;25;8,54 €;4;0,25
21475;26;18,90 €;4;0,25
21475;31;7,62 €;3;0,00
21476;13;3,66 €;4;0,00
21476;62;30,03 €;4;0,00
21477;46;7,32 €;3;0,10
21477;53;19,97 €;4;0,10
21477;69;21,95 €;4;0,00
21478;23;5,49 €;3;0,00
21478;71;13,11 €;4;0,00
21478;72;21,19 €;3;0,00
21479;21;6,10 €;4;0,15
21479;51;32,32 €;4;0,15
21480;35;10,98 €;3;0,00
21480;55;14,64 €;4;0,10
21481;68;7,62 €;4;0,00
21481;71;13,11 €;3;0,00
21481;76;10,98 €;3;0,00
21481;77;7,93 €;4;0,00
21482;29;75,46 €;3;0,00
21482;35;10,98 €;3;0,00
21482;49;12,20 €;3;0,00
21483;30;15,85 €;4;0,00
21483;56;23,17 €;4;0,00
21483;65;12,81 €;3;0,00
21483;71;13,11 €;4;0,00
21484;23;5,49 €;4;0,00
21484;63;26,83 €;4;0,00
21485;16;10,67 €;3;0,15
21485;48;7,77 €;4;0,15
21486;26;18,90 €;3;0,05
21486;42;8,54 €;3;0,05
21486;49;12,20 €;3;0,05
21487;3;6,10 €;4;0,00
21488;1;10,98 €;4;0,00
21488;21;6,10 €;3;0,10
21488;28;27,75 €;3;0,10
21488;36;11,59 €;4;0,10
21488;40;11,28 €;4;0,10
21489;11;12,81 €;3;0,00
21489;69;21,95 €;4;0,00
21489;71;13,11 €;4;0,00
21490;37;15,85 €;4;0,00
21490;54;4,57 €;4;0,00
21490;62;30,03 €;3;0,00
21491;14;14,18 €;4;0,00
21491;21;6,10 €;4;0,00
21492;33;1,52 €;3;0,00
21492;59;33,54 €;4;0,00
21493;41;5,79 €;3;0,20
21493;44;11,89 €;3;0,20
21493;59;33,54 €;4;0,20
21494;14;14,18 €;3;0,10
21495;1;10,98 €;3;0,00
21495;62;30,03 €;3;0,00
21495;76;10,98 €;4;0,00
21496;19;5,49 €;4;0,05
21496;33;1,52 €;4;0,00
21497;17;23,78 €;4;0,00
21497;33;1,52 €;3;0,00
21498;19;5,49 €;3;0,00
21498;53;19,97 €;4;0,00
21498;57;11,89 €;3;0,00
21499;38;160,68 €;4;0,00
21499;46;7,32 €;4;0,25
21499;68;7,62 €;3;0,25
21499;77;7,93 €;3;0,00
21500;2;11,59 €;4;0,00
21500;47;5,79 €;4;0,00
21500;61;17,38 €;4;0,00
21500;74;6,10 €;4;0,00
21501;60;20,73 €;4;0,05
21501;69;21,95 €;3;0,05
21502;9;59,15 €;3;0,10
21502;13;3,66 €;4;0,10
21502;70;9,15 €;4;0,10
21502;73;9,15 €;3;0,10
21503;19;5,49 €;4;0,15
21503;26;18,90 €;3;0,00
21503;53;19,97 €;4;0,15
21503;77;7,93 €;4;0,15
21504;26;18,90 €;4;0,00
21505;31;7,62 €;4;0,00
21505;59;33,54 €;3;0,00
21506;35;10,98 €;4;0,20
21506;38;160,68 €;3;0,20
21506;68;7,62 €;3;0,20
21507;55;14,64 €;4;0,25
21507;76;10,98 €;3;0,25
21508;56;23,17 €;4;0,00
21508;64;20,28 €;4;0,00
21509;14;14,18 €;3;0,00
21510;46;7,32 €;3;0,00
21511;50;9,91 €;3;0,00
21511;63;26,83 €;3;0,25
21512;17;23,78 €;3;0,20
21512;21;6,10 €;4;0,00
21512;56;23,17 €;3;0,00
21512;59;33,54 €;4;0,20
21513;17;23,78 €;4;0,25
21513;40;11,28 €;4;0,25
21513;47;5,79 €;3;0,25
21514;26;18,90 €;4;0,00
21514;54;4,57 €;3;0,00
21515;56;23,17 €;3;0,00
21516;11;12,81 €;4;0,00
21516;76;10,98 €;4;0,15
21517;2;11,59 €;4;0,00
21517;22;12,81 €;4;0,00
21517;72;21,19 €;4;0,00
21518;46;7,32 €;4;0,00
21518;56;23,17 €;3;0,10
21518;64;20,28 €;3;0,10
21518;75;4,73 €;3;0,10
21519;53;19,97 €;4;0,00
21520;19;5,49 €;4;0,20
21520;34;8,54 €;3;0,20
21520;57;11,89 €;4;0,20
21521;12;23,17 €;4;0,00
21521;16;10,67 €;4;0,00
21521;64;20,28 €;4;0,00
21521;74;6,10 €;3;0,00
21522;2;11,59 €;3;0,15
21522;16;10,67 €;3;0,15
21522;29;75,46 €;3;0,15
21522;61;17,38 €;4;0,15
21523;27;26,83 €;4;0,00
21524;11;12,81 €;3;0,00
21524;54;4,57 €;4;0,00
21524;66;10,37 €;4;0,00
21525;11;12,81 €;4;0,20
21525;28;27,75 €;4;0,00
21526;17;23,78 €;4;0,00
21526;26;18,90 €;4;0,00
21526;35;10,98 €;4;0,00
21526;41;5,79 €;3;0,00
21527;39;10,98 €;4;0,00
21527;54;4,57 €;4;0,00
21528;19;5,49 €;4;0,10
21528;24;2,74 €;3;0,10
21528;31;7,62 €;4;0,10
21528;52;4,27 €;4;0,10
21529;7;4,25 €;1;0,00
21529;19;5,49 €;3;0,00
21529;27;26,83 €;4;0,25
21529;44;11,89 €;3;0,00
21529;54;4,57 €;4;0,10
21529;60;20,73 €;3;0,25
21529;65;12,81 €;3;0,00
21529;71;13,11 €;4;0,00
21529;761;3,64 €;1;0,00
21529;1448;9,77 €;1;0,00
21529;1495;12,41 €;1;0,00
21529;2650;8,54 €;4;0,25
21530;26;18,90 €;4;0,00
21530;40;11,28 €;3;0,00
21531;10;18,90 €;4;0,00
21531;27;26,83 €;4;0,25
21531;44;11,89 €;3;0,00
21531;52;4,27 €;3;0,00
21531;54;4,57 €;4;0,10
21531;60;20,73 €;3;0,25
21531;62;30,03 €;3;0,00
21531;65;12,81 €;3;0,00
21531;71;13,11 €;4;0,00
21531;761;3,64 €;1;0,00
21531;2650;8,54 €;4;0,25
21532;10;18,90 €;3;0,20
21532;54;4,57 €;4;0,20
21533;55;14,64 €;4;0,10
21533;64;20,28 €;3;0,10
21533;65;12,81 €;3;0,10
21533;77;7,93 €;4;0,10
21534;28;27,75 €;4;0,00
21534;44;11,89 €;4;0,05
21535;27;26,83 €;4;0,25
21535;44;11,89 €;3;0,00
21535;48;7,77 €;4;0,10
21535;52;4,27 €;3;0,00
21535;54;4,57 €;4;0,10
21535;62;30,03 €;3;0,00
21535;65;12,81 €;3;0,00
21535;70;9,15 €;3;0,10
21535;71;13,11 €;4;0,00
21536;16;10,67 €;3;0,20
21536;33;1,52 €;3;0,20
21536;46;7,32 €;4;0,20
21537;39;10,98 €;3;0,00
21537;53;19,97 €;4;0,00
21537;61;17,38 €;3;0,00
21537;71;13,11 €;3;0,00
21538;21;6,10 €;3;0,15
21538;49;12,20 €;3;0,15
21539;52;4,27 €;3;0,00
21540;26;18,90 €;3;0,00
21540;28;27,75 €;3;0,00
21540;43;28,05 €;3;0,00
21540;56;23,17 €;4;0,00
21540;71;13,11 €;4;0,00
21541;7;18,29 €;4;0,05
21541;46;7,32 €;3;0,05
21541;72;21,19 €;3;0,00
21542;68;7,62 €;3;0,25
21542;75;4,73 €;4;0,25
21543;21;6,10 €;3;0,25
21543;30;15,85 €;3;0,25
21543;55;14,64 €;4;0,25
21544;13;3,66 €;3;0,00
21544;23;5,49 €;3;0,00
21545;19;5,49 €;3;0,00
21545;42;8,54 €;4;0,00
21546;4;13,42 €;4;0,20
21546;43;28,05 €;4;0,00
21546;56;23,17 €;3;0,20
21546;60;20,73 €;3;0,00
21547;24;2,74 €;3;0,00
21547;29;75,46 €;4;0,10
21547;40;11,28 €;3;0,00
21547;45;5,79 €;3;0,10
21547;50;9,91 €;3;0,00
21548;11;12,81 €;4;0,00
21548;46;7,32 €;4;0,00
21549;24;2,74 €;3;0,00
21549;25;8,54 €;4;0,00
21550;30;15,85 €;4;0,00
21550;43;28,05 €;4;0,00
21551;2;11,59 €;3;0,15
21551;10;23,63 €;4;0,00
21551;16;10,67 €;3;0,15
21551;44;11,89 €;4;0,15
21551;78;16,77 €;3;0,00
21552;18;38,11 €;3;0,00
21552;23;5,49 €;4;0,00
21552;64;20,28 €;4;0,00
21553;7;18,29 €;3;0,00
21553;56;23,17 €;3;0,00
21554;24;2,74 €;4;0,05
21554;51;32,32 €;4;0,00
21555;33;1,52 €;4;0,00
21555;71;13,11 €;4;0,00
21556;14;14,18 €;4;0,00
21556;28;27,75 €;4;0,00
21556;40;11,28 €;3;0,00
21556;75;4,73 €;4;0,00
21557;31;7,62 €;3;0,15
21557;66;10,37 €;4;0,15
21557;76;10,98 €;3;0,15
21558;55;14,64 €;4;0,05
21558;70;9,15 €;4;0,00
21559;1;10,98 €;4;0,00
21559;21;6,10 €;3;0,25
21559;39;10,98 €;3;0,25
21560;10;18,90 €;3;0,05
21561;38;160,68 €;3;0,00
21561;53;19,97 €;3;0,00
21561;59;33,54 €;4;0,00
21561;64;20,28 €;3;0,00
21562;47;5,79 €;3;0,00
21562;59;33,54 €;4;0,00
21563;49;12,20 €;3;0,00
21563;60;20,73 €;3;0,00
21564;40;11,28 €;4;0,00
21565;34;8,54 €;3;0,05
21565;77;7,93 €;3;0,05
21566;21;6,10 €;4;0,00
21566;40;11,28 €;4;0,00
21566;51;32,32 €;4;0,00
21567;2;11,59 €;3;0,10
21567;3;6,10 €;3;0,10
21567;55;14,64 €;3;0,10
21567;70;9,15 €;4;0,10
21568;11;12,81 €;4;0,00
21568;51;32,32 €;3;0,00
21568;74;6,10 €;4;0,00
21569;19;5,49 €;4;0,00
21569;26;18,90 €;3;0,00
21569;54;4,57 €;3;0,25
21570;59;33,54 €;3;0,00
21570;73;9,15 €;3;0,20
21571;11;12,81 €;4;0,25
21571;16;10,67 €;4;0,00
21572;59;33,54 €;4;0,00
21572;68;7,62 €;3;0,00
21572;75;4,73 €;3;0,00
21573;44;11,89 €;4;0,15
21573;77;7,93 €;4;0,15
21574;25;8,54 €;4;0,05
21574;42;8,54 €;3;0,05
21575;65;12,81 €;4;0,10
21575;66;10,37 €;4;0,10
21575;69;21,95 €;4;0,10
21576;56;23,17 €;3;0,00
21577;23;5,49 €;4;0,00
21577;41;5,79 €;3;0,00
21577;77;7,93 €;4;0,00
21578;31;7,62 €;3;0,05
21579;56;23,17 €;4;0,00
21579;72;21,19 €;3;0,00
21579;77;7,93 €;3;0,00
21580;24;3,35 €;4;0,00
21580;40;14,03 €;4;0,00
21580;42;10,67 €;3;0,00
21581;28;34,76 €;3;0,00
21581;49;15,24 €;3;0,00
21582;15;11,89 €;4;0,05
21582;28;34,76 €;4;0,05
21583;54;5,64 €;3;0,00
21584;45;7,32 €;3;0,00
21584;53;25,00 €;4;0,00
21584;67;10,67 €;3;0,00
21585;14;17,68 €;4;0,00
21585;65;16,01 €;3;0,00
21586;2;14,48 €;4;0,00
21586;21;7,62 €;4;0,00
21586;53;25,00 €;4;0,00
21586;61;21,65 €;3;0,00
21587;62;37,50 €;4;0,00
21588;25;10,67 €;4;0,10
21588;70;11,43 €;4;0,10
21589;43;35,06 €;4;0,15
21589;48;9,76 €;4;0,15
21590;13;4,57 €;4;0,00
21590;39;13,72 €;4;0,00
21591;28;34,76 €;4;0,00
21592;29;94,37 €;3;0,00
21592;75;5,95 €;3;0,10
21593;4;16,77 €;4;0,15
21593;7;22,87 €;4;0,15
21593;8;30,49 €;4;0,15
21594;24;3,35 €;4;0,15
21594;46;9,15 €;4;0,15
21594;47;7,32 €;4;0,15
21594;60;25,92 €;4;0,15
21595;21;7,62 €;3;0,20
21595;32;24,39 €;4;0,20
21595;61;21,65 €;4;0,20
21596;20;61,74 €;3;0,00
21596;28;34,76 €;3;0,00
21596;56;28,97 €;4;0,00
21596;65;16,01 €;3;0,00
21596;75;5,95 €;4;0,00
21597;9;73,94 €;4;0,15
21597;16;13,26 €;4;0,00
21597;27;33,54 €;4;0,00
21597;33;1,83 €;4;0,15
21597;60;25,92 €;4;0,15
21598;18;47,56 €;3;0,10
21598;41;7,32 €;4;0,10
21598;42;10,67 €;3;0,00
21599;52;5,34 €;4;0,00
21599;59;41,92 €;4;0,00
21599;70;11,43 €;4;0,00
21600;24;3,35 €;4;0,00
